time_stamp,pm2.5_alt,station,pm2.5_atm,pm2.5_cf_1
2022-04-04 16:00:00+00:00,1.6,100155,2.0275,2.0275
2022-04-04 17:00:00+00:00,0.7,100155,0.3855,0.3855
2022-04-04 18:00:00+00:00,0.5,100155,0.175,0.175
2022-04-04 19:00:00+00:00,0.3,100155,0.0665,0.0665
2022-04-04 20:00:00+00:00,0.5,100155,0.237,0.237
2022-04-04 21:00:00+00:00,0.8,100155,0.6625000000000001,0.6625000000000001
2022-04-04 22:00:00+00:00,1.2,100155,1.3115,1.3115
2022-04-04 23:00:00+00:00,3.7,100155,5.8260000000000005,5.925
2022-04-05 00:00:00+00:00,2.0,100155,2.7575000000000003,2.7575000000000003
2022-04-05 01:00:00+00:00,1.3,100155,1.6095000000000002,1.6095000000000002
2022-04-05 02:00:00+00:00,2.8,100155,4.334,4.334
2022-04-05 03:00:00+00:00,7.7,100155,14.0345,14.3185
2022-04-05 04:00:00+00:00,2.7,100155,4.063000000000001,4.063000000000001
2022-04-05 05:00:00+00:00,2.4,100155,3.477,3.477
2022-04-05 06:00:00+00:00,0.7,100155,0.5295000000000001,0.5295000000000001
2022-04-05 07:00:00+00:00,2.4,100155,3.522,3.522
2022-04-05 08:00:00+00:00,2.7,100155,4.1755,4.1755
2022-04-05 09:00:00+00:00,7.1,100155,13.699,13.7105
2022-04-05 10:00:00+00:00,5.3,100155,9.7645,9.7875
2022-04-05 11:00:00+00:00,8.2,100155,16.8795,17.195
2022-04-05 12:00:00+00:00,7.8,100155,15.1275,15.928
2022-04-05 13:00:00+00:00,18.1,100155,36.368,38.946
2022-04-05 14:00:00+00:00,16.4,100155,32.7355,34.84
2022-04-05 15:00:00+00:00,8.2,100155,15.4095,15.4615
2022-04-05 16:00:00+00:00,4.9,100155,8.1825,8.1825
2022-04-05 17:00:00+00:00,1.6,100155,2.0015,2.0015
2022-04-05 18:00:00+00:00,1.5,100155,1.8565,1.8565
2022-04-05 19:00:00+00:00,0.7,100155,0.724,0.724
2022-04-05 20:00:00+00:00,2.4,100155,3.332,3.4405
2022-04-05 21:00:00+00:00,1.3,100155,1.552,1.552
2022-04-05 22:00:00+00:00,0.3,100155,0.142,0.142
2022-04-05 23:00:00+00:00,0.4,100155,0.2339999999999999,0.2339999999999999
